,Country,Geographic coordinates,Map references,Geography: Area - total,Military service age and obligation,Terrorism: Terrorist group(s),Military and Security: Military - note,LATITUDE,LONGITUDE,2020 Real GDP,2019 Real GDP,2018 Real GDP,GDP Growth Rate Est 1,GDP Growth Rate Est 2,GDP Growth Rate Est 3,GDP per Capita Est 1,GDP per Capita Est 2,GDP per Capita Est 3,Econ: Current Acct Bal Est 1,Econ: Current Acct Bal Est 2,Exports Est 1,Exports Est 2,Top Export - Country & %,Foreign Exchange & Gold - latest est,Total Population Electrification (2020 - 2019),Unemployment Rate (recent),Percent Population below poverty line,Population below poverty line - Year Recorded,Household income or consumption by % (-highest 10%),Household income or consumption by % (year recorded),Population (as of 2022),Percent of People 14 yrs and under,males 14 yrs and under,females 14 yrs and under,Percent of People 15-24 yrs and under,males between 15-24 years,females between 15-24 years,Percent of People 25-54 yrs,males 25-54 yrs,females 25-54 yrs,Percent of People 55-64,males 55-64 yrs,females 55-64 yrs,Median Age (in years),Male Median Age (in years),Female Median Age (in years),Population growth rate (2022 est),"Birth rate (births/1,000 population, 2022 est)","Death rate (births/1,000 population, 2022 estimates)","Net migration rate (migrant(s)/1,000 population, 2022 est.)",Urban Population (- % of total pop as of 2022),Sex ratio at Birth (male(s)/female),65 & Older Sex Ratio (male(s)/female),"Total Pop Sex Ratio (male(s)/female, as of 2022","Total Infant Mortality Rate (deaths/1,000 live births)",Total Pop Life expectancy at birth (in years),Male Life expectancy at birth (in years),"Female Life expectancy at birth (in years, 2022 est.)",Total fertility rate (children born/woman (2022 est.),Adult Obesity Prev Rate in percentages (2016 est.),Total Tobacco use in percentages (2020 est.),Total Internet Users (2020 est.),Internet users - % of Pop (2020 est.),2021 Military expenditures (as percent of GDP),2020 Military expenditures (as percent of GDP),2019 Military expenditures (as percent of GDP)
115,Italy,"42 50 N, 12 50 E",Europe,"301,340 sq km","18-25 years of age for voluntary military service; women may serve in any military branch; Italian citizenship required; 1-year service obligation; conscription abolished 2004 (2021)note - as of 2019, women made up about 6% of the military's full-time personnel",Islamic State of Iraq and ash-Sham (ISIS),"Italy is a member of NATO and was one of the original 12 countries to sign the North Atlantic Treaty (also known as the Washington Treaty) in 1949Italy is an active participant in EU, NATO, UN, and other multinational military, security, and humanitarian operations abroad; as of 2022, it hosted the headquarters for the EU’s Mediterranean naval operations force (EUNAVFOR-MED) in Rome and the US Navy’s 6th Fleet in Naples; Italy was admitted to the UN in 1955 and in 1960 participated in its first UN peacekeeping mission, the UN Operation in Congo (ONUC); since 1960, it has committed more than 60,000 troops to UN missions; since 2006, Italy has hosted a training center in Vicenza for police personnel destined for peacekeeping missions",42 50 N, 12 50 E,2322140000,2548190000000,2548190000000,0.34% (2019 est,0.83% (2018 es,1.73% (2017 e,"39,000 (2020 est.)","42,700 (2019 est.)","42,100 (2018 es",$59.517 billion (2019 est.,$51.735 billion (2018 est.),558.26 billion (2020 est.,636.01 billion (2019 et,"Germany 12%, Fr",151.2 billion (31 December 2017 est.),100%,9.88,20.1%, 2018 ,26.8, 2000,"61,095,551 ",13.45," 4,292,431",4097732,9.61%,3005402,2989764,40.86,12577764,12921614,14% (,243735,12921614,46.5,45.4,47.5,-0.13,6.95 ,11.31,3.02 ,71.7%,1.06 ,0.67 ,0.93,3.16 ,82.59,80.25,85.08,1.22 ,19.9%,23.1%,41614669,70% ,1.5,1.6%,21.2%
122,Jordan,"31 00 N, 36 00 E",Middle East,"89,342 sq km","17 years of age for voluntary male military service (women can volunteer to serve in noncombat military positions in the Royal Jordanian Arab Army Women's Corps and RJAF); initial service term 2 years, with option to reenlist for 18 years; conscription abolished in 1991; however, in 2020, Jordan announced the reinstatement of compulsory military service for jobless men aged between 25 and 29 with 12 months of service, made up of 3 months of military training and 9 months of professional and technical training; in 2019, announced a voluntary 4-month National Military Service program for men and women aged between 18-25 years who have been unemployed for at least 6 months; service would include 1 month for military training with the remaining 3 months dedicated to vocational training in the sectors of construction and tourism (2022)note - most women serve in the medical service; outside the medical service, women comprised about 1.5% of the military as of 2019; the Jordanian Government intended to raise this to 3%",Islamic State of Iraq and ash-Sham (ISIS),"the Jordanian military traces its origins back to the Arab Legion, which was formed under the British protectorate of Transjordan in the 1920s due largely to its proximity to regional conflicts in Iraq and Syria, the presence of major terrorist organizations in both of those countries, and the Israeli-Palestinian conflict, the highest priorities of Jordan’s military and security services in 2022 included securing its borders and the potential for domestic terrorist attacks; the terrorist group Hizballah and Iranian-backed militia forces were operating in southwestern Syria near Jordan’s border while fighters from the Islamic State of Iraq and ash-Sham (ISIS) terrorist group continued operating in both Iraq and Syria; ISIS fighters included Jordanian nationals, some of whom have returned to Jordan; meanwhile, individuals and groups sympathetic to Palestine have planned and conducted terrorist attacks in Jordan Jordan has Major Non-NATO Ally (MNNA) status with the US; MNNA is a designation under US law that provides foreign partners with certain benefits in the areas of defense trade and security cooperation; while MNNA status provides military and economic privileges, it does not entail any security commitments Jordan signed a peace treaty with Israel in 1994",31 00 N, 36 00 E,100.16 ,101.74  ,101.74  ,2% (2019 est.)1,.94% (2018 es,.12% (2017 e,"9,800 (2020 est.)","10,100 (2019 est.)","10,000 (2018 es",-$1.222 billion (2019 est.,-$2.964 billion (2018 est.),16.29 billion (2019 est.),15.09 billion (2018 et.),United States 2,15.56 billion (31 December 2017 est.),100%,19.1,15.7%, 2018 ,28.7, 2010 ,"10,998,531 ",33.05," 1,837,696",1738935,19.77,1126567,1012812,38.39,2250328,1903996,5.11%,290633,1903996,23.5,23.9,22.9,0.81%,22.58,3.45 ,-11.0,91.8%,1.06 ,0.84 ,1.1 ,13.9 ,76.01,74.51,77.6 ,2.96 ,35.5%,34.8%,6768137 ,67% ,5% ,)5%,5.6%
144,Malaysia,"2 30 N, 112 30 E",Southeast Asia,"329,847 sq km","17 years 6 months of age for voluntary military service (younger with parental consent and proof of age); mandatory retirement age 60; women serve in the Malaysian Armed Forces; no conscription (2021)note - in 2020, the Malaysian Armed Forces announced a goal of having 10% of the active military comprised of women",Islamic State of Iraq and ash-Sham (ISIS); Jemaah Islamiyah (JI); Abu Sayyaf Group (ASG),"maritime security has long been a top priority for the Malaysian Armed Forces, but it has received even greater emphasis in the 2000s, particularly anti-piracy operations in the Strait of Malacca and countering Chinese naval incursions in Malaysia’s Economic Exclusion Zone, as well as addressing identified shortfalls in maritime capabilities; as such, it has undertaken modest efforts to procure more modern ships, improve air and maritime surveillance, expand the Navy’s support infrastructure (particularly bases/ports) and domestic ship-building capacities, restructure naval command and control, and increase naval cooperation with regional and international partners; as of 2022, for example, the Navy had 6 frigates fitting out or under construction and scheduled for completion by 2023, which will increase the number of operational frigates from 2 to 8; in addition, it began tri-lateral air and naval patrols with Indonesia and the Philippines in 2017; Malaysia also cooperates closely with the US military, including on maritime surveillance and participating regularly in bilateral and multilateral training exercisesMalaysia is a member of the Five Powers Defense Arrangements (FPDA), a series of mutual assistance agreements reached in 1971 embracing Australia, Malaysia, New Zealand, Singapore, and the UK; the FPDA commits the members to consult with one another in the event or threat of an armed attack on any of the members and to mutually decide what measures should be taken, jointly or separately; there is no specific obligation to intervene militarily (2022)",2 30 N, 112 30 E,855.6  ,06.24   ,06.24   ,4.31% (2019 est,4.77% (2018 es,5.81% (2017 e,"26,400 (2020 est.)","28,400 (2019 est.)","27,600 (2018 es",$12.295 billion (2019 est.,$8.027 billion (2018 est.),207.37 billion (2020 est.,237.83 billion (2019 et,"Singapore 13%, ",102.4 billion (31 December 2017 est.),100%,3.3%,5.6% ,2018 ,34.7, 2009 ,"33,871,431 ",26.8%,"4,504,562/",4246681,16.63,2760244,2670186,40.86,6737826,6604776,8.81%,1458038,6604776,29.2,28.9,29.6,1.03%,14.55,5.69 ,1.48 ,78.2%,1.07 ,1.14 ,1.05,6.59 ,76.13,74.5 ,77.87,1.75 ,15.6%,22.5%,29129398,90% ,1% ,)1.1%,)1%(2
159,Morocco,"28 30 N, 10 00 W",Africa,"716,550 sq km",19-25 years of age for 12-month compulsory military service (reintroduced in 2019); both sexes (age 20-27 for women) are obligated to national service (2021),Islamic State of Iraq and ash-Sham (ISIS),"Moroccan military forces were engaged in combat operations against the Polisario Front (aka Frente Popular para la Liberación de Saguia el-Hamra y de Río de Oro or Frente Polisario) from 1975 until a UN-brokered cease-fire in 1991; a 2,500-kilometer long sand berm, built in 1987, separates the forces of Morocco and the Polisario Frontthe UN Mission for the Referendum in Western Sahara (MINURSO) was established by Security Council resolution 690 in April 1991 in accordance with settlement proposals accepted in August 1988 by Morocco and the Polisario Front; MINURSO was unable to carry out all the original settlement proposals, but as of 2022 continued to monitor the cease-fire and reduce the threat of mines and unexploded ordnance, and has provided logistic support to the Office of the UN High Commissioner for Refugees (UNHCR)-led confidence building measures with personnel and air and ground assetsMorocco has Major Non-NATO Ally (MNNA) status with the US; MNNA is a designation under US law that provides foreign partners with certain benefits in the areas of defense trade and security cooperation; while MNNA status provides military and economic privileges, it does not entail any security commitments",28 30 N, 10 00 W,259.42 ,279.3   ,279.3   ,2.5% (2019 est.,)2.96% (2018 es,)3.98% (2017 e,"6,900 (2020 est.)","7,500 (2019 est.)7",")7,400 (2018 es",-$5.075 billion (2019 est.,-$6.758 billion (2018 est.),37.52 billion (2020 est.),44.05 billion (2019 et.),"Spain 23%, Fran",26.27 billion (31 December 2017 est.),100%,9.23,4.8% ,2013 ,33.2, 2007,"36,738,229 ",27.04," 4,905,626",4709333,16.55,2953523,2930708,40.64,7126781,7325709,8.67%,1533771,7325709,29.1,28.7,29.6,0.91%,17.42,6.6 d,-1.74,64.6%,1.05 ,0.81 ,1 ,19.2 ,73.68,71.98,75.46,2.29 ,26.1%,14.5%,31004869,84% ,4.5,4.5%,203.4%
160,Mozambique,"18 15 S, 35 00 E",Africa,"799,380 sq km",registration for military service is mandatory for all males and females at 18 years of age; 18-35 years of age for selective compulsory military service; 18 years of age for voluntary service; 2-year service obligation; women may serve as officers or enlisted (2021),Islamic State of Iraq and ash-Sham - Mozambique (ISIS-M),"the Government of Mozambique is facing an insurgency driven by militants with ties to the Islamic State terrorist group (ISIS-Mozambique, which was declared a Foreign Terrorist Organization by the US State Department in March 2021) in the northern province of Cabo Delgado, an area known for rich liquid natural gas deposits; insurgent attacks in the province began in 2017 and as of 2022, the fighting had left an estimated 4,000 dead and over 700,000 displaced; the FADM is widely assessed as lacking the training, equipment, and overall capabilities to address the insurgency; as of 2022, several countries from the Southern Africa Development Community and the European Union, as well as Rwanda and the US were providing various forms of military assistance; African countries have provided approximately 3,100 troops (2022)",18 15 S, 35 00 E,38.42  ,8.91   ,8.91   ,3.11% (2018 est,3.7% (2017 es,)4.07% (2017 e,"1,200 (2020 est.)","1,300 (2019 est.)1",")1,300 (2018 es",-$3.025 billion (2019 est.,-$4.499 billion (2018 est.),4.35 billion (2020 est.) ,5.6 billion (2019 et.) no,South Africa 16,3.361 billion (31 December 2017 est.),35% ,24.5,46.1%, 2014 ,36.7, 2008,"31,693,239 ",45.57," 6,950,800",6766373,19.91,2997529,2994927,28.28,3949085,4564031,3.31%,485454,4564031,17 y,16.3,17.6,2.56%,37.47,10.25,-1.58,38.2%,1.03 ,0.88 ,0.97,61.38,57.1 ,55.76,58.49,4.81 ,7.2% ,14.3%,5313424 ,17% ,1.2,1.1%,201.2%
165,Netherlands,"52 31 N, 5 46 E",Europe,"41,543 sq km","17 years of age for an all-volunteer force; conscription remains in place, but the requirement to show up for compulsory military service was suspended in 1997 (2021)note - in 2019, women made up about 11% of the military's full-time personnel",Islamic State of Iraq and ash-Sham (ISIS),"the Netherlands is a member of NATO and was one of the original 12 countries to sign the North Atlantic Treaty (also known as the Washington Treaty) in 1949 since 1973, the Dutch Marine Corps has worked closely with the British Royal Marines, including jointly in the UK-Netherlands amphibious landing force a Dutch Army airmobile infantry brigade and a mechanized infantry brigade have been integrated into the German Army since 2014 and 2016 respectively in 2018, the Defense Ministers of Belgium, Denmark and the Netherlands signed a Memorandum of Understanding (MOU) for the creation of a Composite Special Operations Component Command (C-SOCC); the C-SOCC was declared operational in December 2020 in 2015, Belgium, the Netherlands, and Luxembourg signed an agreement to conduct joint air policing of their territories; under the agreement, which went into effect in January of 2017, the Belgian and Dutch Air Forces trade responsibility for patrolling the skies over the three countries",52 31 N, 5 46 E,945.48 ,982.22  ,982.22  ,1.63% (2019 est,2.32% (2018 es,3.02% (2017 e,"54,200 (2020 est.)","56,600 (2019 est.)","56,100 (2018 es",$90.207 billion (2019 est.,$98.981 billion (2018 est.),719.78 billion (2020 est.,755.77 billion (2019 et,"Germany 20%, Be",38.44 billion (31 December 2017 est.),100%,3.41,13.6%, 2019 ,24.9, 2014 ,"17,400,824 ",16.11," 1,425,547",1358894,11.91,1049000,1008763,38.47,3334064,3313238,13.69,1177657,3313238,42.8,41.6,44 y,0.36%,10.99,9.24 ,1.9 ,92.9%,1.05 ,0.67 ,0.98,3.4 d,82.16,79.93,84.49,1.78 ,20.4%,22.2%,15871765,91% ,1.5,1.4%,21.3%
170,Nigeria,"10 00 N, 8 00 E",Africa,"923,768 sq km",18-26 years of age for voluntary military service (men and women); no conscription (2022),Boko Haram; Islamic State of Iraq and ash-Sham – West Africa; Jama’atu Ansarul Muslimina Fi Biladis-Sudan (Ansaru),"as of 2022, the Nigerian military was sub-Saharan Africa’s largest and regarded as one of its most capable forces; it was focused largely on internal security and faced a number of challenges that have stretched its resources, however; the Army was deployed in all 36 of the country's states; in the northeast, it was conducting counterinsurgency/counter-terrorist operations against the Boko Haram (BH) and Islamic State in West Africa (ISWA) terrorist groups, where it has deployed as many as 70,000 troops at times and jihadist-related violence has killed an estimated 35-40,000 people, mostly civilians, since 2009 (as of 2022); in the northwest, it faced growing threats from criminal gangs, bandits, and violence associated with historical and ongoing farmer-herder conflicts, as well as BH and ISWA terrorists; bandits in the northwest were estimated to number in the low 10,000s and violence there has killed more than 10,000 since the mid-2010s; the military also continued to protect the oil industry in the Niger Delta region against militants and criminal activity, although the levels of violence there have decreased in recent years; beginning in May 2021, a contingent of military troops and police were deployed to eastern Nigeria to quell renewed agitation for a state of Biafra (Biafra seceded from Nigeria in the late 1960s, sparking a civil war that caused more than 1 million deaths)as of 2022, the Navy was focused on security in the Gulf of Guinea; since 2016, it has developed a maritime strategy, boosted naval training and its naval presence in the Gulf, increased participation in regional maritime security efforts, and acquired a significant number of new naval platforms, including offshore and coastal patrol craft, fast attack boats, and air assets the Nigerian military traces its origins to the Nigeria Regiment of the West African Frontier Force (WAFF), a multi-regiment force formed by the British colonial office in 1900 to garrison the West African colonies of Nigeria (Lagos and the protectorates of Northern and Southern Nigeria), Gold Coast, Sierra Leone, and Gambia; the WAFF served with distinction in both East and West Africa during World War I; in 1928, it received royal recognition and was re-named the Royal West African Frontier Force (RWAFF); the RWAFF went on to serve in World War II as part of the British 81st and 82nd (West African) divisions in the East Africa and Burma campaigns; in 1956, the Nigeria Regiment of the RWAFF was renamed the Nigerian Military Forces (NMF) and in 1958, the colonial government of Nigeria took over control of the NMF from the British War Office; the Nigerian Armed Forces were established following independence in 1960",10 00 N, 8 00 E,1013530000,1032050000000,1032050000000,0.8% (2017 est.,)-1.6% (2016 es,)2.7% (2015 e,"4,900 (2020 est.)","5,100 (2019 est.)5",")5,200 (2018 es",$10.38 billion (2017 est.),2.714 billion (2016 est.),39.94 billion (2020 est.),69.93 billion (2019 et.),"India 16%, Spai",38.77 billion (31 December 2017 est.),62% ,16.5,40.1%, 2018 ,38.2, 2010 ,"225,082,083",41.7%,"45,571,738",43674769,20.27,2202266,21358753,30.6%,32808913,32686474,4.13%,4327847,32686474,18.6,18.4,18.9,2.53%,34.19,8.7 d,-0.21,53.5%,1.06 ,0.77 ,1.02,56.68,61.33,59.51,63.27,4.62 ,8.9% ,3.7% ,74210251,36% ,0.7,0.6%,200.5%
177,Pakistan,"30 00 N, 70 00 E",Asia,"796,095 sq km","16 (or 17 depending on service)-23 years of age for voluntary military service; soldiers cannot be deployed for combat until age 18; women serve in all three armed forces; reserve obligation to age 45 for enlisted men, age 50 for officers (2022)",Haqqani,"the military has carried out three coups since Pakistan's independence in 1947 and as of 2022 remained a dominant force in the country’s political arena; its chief external focus was on the perceived threat from India, as well as implications of the fall of the government in Kabul, but over the past 15 years, the military also has increased its role in internal security missions, including counterinsurgency and counterterrorism; it is the lead security agency in many areas of the former Federally Administered Tribal Areas Pakistan and India have fought several conflicts since 1947, including the Indo-Pakistan War of 1965 and the Indo-Pakistan and Bangladesh War of Independence of 1971, as well as two clashes over the disputed region of Kashmir (First Kashmir War of 1947 and the Kargil Conflict of 1999); a fragile cease-fire in Kashmir was reached in 2003, revised in 2018, and reaffirmed in 2021, although the Line of Control remained contested as of 2022, and India has accused Pakistan of backing armed separatists and terrorist organizations in Jammu and Kashmir; in addition, India and Pakistan have battled over the Siachen Glacier of Kashmir, which was seized by India in 1984 with Pakistan attempting to retake the area in 1985, 1987, and 1995; despite a cease-fire, as of 2022 both sides continued to maintain a permanent military presence there with outposts at altitudes above 20,000 feet (over 6,000 meters) where most casualties were due to extreme weather or the hazards of operating in the high mountain terrain of the world’s highest conflict, including avalanches, exposure, and altitude sicknessPakistan has Major Non-NATO Ally (MNNA) status with the US; MNNA is a designation under US law that provides foreign partners with certain benefits in the areas of defense trade and security cooperation; while MNNA status provides military and economic privileges, it does not entail any security commitments",30 00 N, 70 00 E,1021130000,1015800000000,1015800000000,5.4% (2017 est.,)4.6% (2016 es.,4.1% (2015 e,"4,600 (2020 est.)","4,700 (2019 est.)4",")4,700 (2018 es",-$7.143 billion (2019 est.,-$19.482 billion (2018 est.),27.3 billion (2020 est.) ,30.67 billion (2019 et.) ,United States 1,18.46 billion (31 December 2017 est.),79% ,6% ,24.3%, 2015 ,26.1, 2013,"242,923,845",36.01," 42,923,92",41149694,19.3%,23119205,21952976,34.7%,41589381,39442046,5.55%,6526656,39442046,22 y,21.9,22.1,1.95%,26.48,6.02 ,-0.96,37.7%,1.05 ,0.79 ,1.04,53.98,69.67,67.62,71.82,3.46 ,8.6% ,20.2%,55223083,25% ,4% ,)4%,4%
183,Paraguay,"23 00 S, 58 00 W",South America,"406,752 sq km","18 years of age for compulsory (men) and voluntary (men and women) military service; conscript service obligation is 12 months for Army, 24 months for Navy (conscripts also serve in the National Police); volunteers for the Air Force must be younger than 22 years of age with a secondary school diploma (2022)note - as of 2021, women made up about 6% of the active military",Hizballah (2022),"as of 2022, the armed forces were conducting operations against the Paraguayan People's Army (Ejército del Pueblo Paraguayo, EPP), a Marxist-nationalist insurgent group operating in the rural northern part of the country along the border with Brazil; they were also assisting internal security forces in countering narco-trafficking networks",23 00 S, 58 00 W,87.98  ,8.87   ,8.87   ,4.8% (2017 est.,)4.3% (2016 es.,3.1% (2015 e,"12,300 (2020 est.)","12,600 (2019 est.)","12,800 (2018 es",-$298 million (2017 est.)$,16 million (2016 est.),11.81 billion (2020 est.),13.27 billion (2019 et.),"Brazil 32%, Arg",7.877 billion (31 December 2017 est.),100%,5.7%,23.5%, 2019 ,37.6, 2013 ,"7,356,409 ",23.41," 857,303",826470,17.71,640400,633525,42.63,1532692,1532851,8.37%,306100,1532851,29.7,29.5,29.9,1.14%,16.32,4.87 ,-0.07,62.8%,1.05 ,0.72 ,1.01,23.21,78.37,75.72,81.15,1.89 ,20.3%,11.5%,4.92 ,64% ,1% ,)1%,1%
184,Peru,"10 00 S, 76 00 W",South America,"1,285,216 sq km","18-50 years of age for male and 18-45 years of age for female voluntary military service (12 months); no conscription (abolished in 1999) (2022)note - as of 2019, women made up about 10% of the active duty military",Shining Path (Sendero Luminoso),"the Peruvian security forces continued to conduct operations against remnants of the Shining Path terrorist group (aka Sendero Luminoso; see Appendix T), particularly in the Apurimac, Ene, and Mantaro River Valleys (VRAEM) of eastern Peru; the military had approximately 8,000-10,000 troops in the VRAEM under a combined Special Command comprised of air, ground, naval, police, and special forces units (2022)",10 00 S, 76 00 W,371.29 ,417.88  ,417.88  ,2.18% (2019 est,3.97% (2018 es,2.48% (2017 e,"11,300 (2020 est.)","12,900 (2019 est.)","12,800 (2018 es",-$3.531 billion (2019 est.,-$3.821 billion (2018 est.),54.88 billion (2019 est.),55.84 billion (2018 et.),"China 29%, Unit",63.83 billion (31 December 2017 est.),97% ,6.58,20.2%, 2019 ,36.1, 2010 ,"32,275,736 ",25.43," 4,131,985",3984546,17.21,2756024,2736394,41.03,6279595,6815159,8.28%,1266595,6815159,29.1,28.3,29.9,0.51%,17.21,11.32,-0.75,78.7%,1.05 ,0.63 ,0.96,10.8 ,68.94,65.38,72.67,2.2 ,19.7%,8.1% ,21431700,65% ,1.1,1.2%,201.2%
185,Philippines,"13 00 N, 122 00 E",Southeast Asia,"300,000 sq km","18-23 years of age (officers 21-29; 21-26 for women officers) for voluntary military service (men and women); no conscription (2021)note - as of 2020, women made up about 6% of the active military; women were allowed to enter the Philippine Military Academy and train as combat soldiers in 1993",Abu Sayyaf Group; Communist Party of the Philippines/New People's Army; Islamic State of Iraq and ash-Sham – East Asia (ISIS-EA) in the Philippines,"the US and Philippines agreed to a mutual defense treaty in 1951; the Philippines has Major Non-NATO Ally (MNNA) status with the US; MNNA is a designation under US law that provides foreign partners with certain benefits in the areas of defense trade and security cooperation; while MNNA status provides military and economic privileges, it does not entail any security commitments as of 2022, the AFP's primary air and ground operational focus was on internal security duties, particularly in the south, where several separatist insurgent and terrorist groups operated and up to 60% of the armed forces were deployed; additional combat operations were being conducted against the Communist Peoples Party/New People’s Army, which was active mostly on Luzon, the Visayas, and areas of Mindanaoin addition to its typical roles of patrolling and defending the country's maritime claims, the Navy conducts interdiction operations against terrorist, insurgent, and criminal groups around the southern islands; in 2017, the Philippines began conducting joint maritime patrols with Indonesia and Malaysia to counter regional terrorist activities, particularly in the Sulu Sea; the Philippine Marine Corps assists the Army in counterinsurgency operationsthe Philippines National Police (PNP) also has an active role in counterinsurgency and counter-terrorism operations alongside the AFP, particularly the Special Action Force, a PNP commando unit that specializes in urban counter-terrorism operations",13 00 N, 122 00 E,871.56 ,963.83  ,963.83  ,6.04% (2019 est,6.34% (2018 es,6.94% (2017 e,"8,000 (2020 est.)","8,900 (2019 est.)8",")8,500 (2018 es",-$3.386 billion (2019 est.,-$8.877 billion (2018 est.),78.82 billion (2020 est.),94.74 billion (2019 et.),"China 16%, Unit",81.57 billion (31 December 2017 est.),96% ,5.11,16.7%, 2018 ,29.5, 2015 ,"114,597,229",32.42," 18,060,97",17331781,19.16,1068032,10243047,37.37,20777741,20027153,6.18%,3116485,20027153,24.1,23.6,24.6,1.6% ,22.28,6.41 ,0.13 ,48% o,1.05 ,0.46 ,1 ,22.23,70.14,66.6 ,73.86,2.78 ,6.4% ,22.9%,54790543,50% ,1.1,1.1%,21.1%
187,Poland,"52 00 N, 20 00 E",Europe,"312,685 sq km","18-28 years of age for male and female voluntary military service; conscription phased out in 2009-12; professional soldiers serve on a permanent basis (for an unspecified period of time) or on a contract basis (for a specified period of time); initial contract period is 24 months; women serve in the military on the same terms as men (2021)note - as of 2019, women made up about 7% of the military's full-time personnel",Islamic State of Iraq and ash-Sham (ISIS),"Poland joined NATO in 1999; Czechia, Hungary, and Poland were invited to begin accession talks at NATO's Madrid Summit in 1997, and in March 1999 they became the first former members of the Warsaw Pact to join the Alliance since 2017, Poland has hosted a US-led multi-national NATO ground force battlegroup as part of the Alliance’s Enhanced Forward Presence initiative; since 2014, Poland has also hosted NATO fighter detachments at Malbork Air Base under NATO's enhanced air policing arrangementsPoland hosts a NATO-led divisional headquarters (Multinational Division Northeast; operational in 2018), which coordinates training and preparation activities of its respective subordinate battlegroups in Poland and Lithuania; Poland also hosts a corps-level headquarters (Multinational Corps Northeast) (2022)",52 00 N, 20 00 E,1223460000,1257440000000,1257440000000,4.55% (2019 est,5.36% (2018 es,4.83% (2017 e,"32,200 (2020 est.)","33,100 (2019 est.)","31,700 (2018 es",$2.92 billion (2019 est.)-,7.52 billion (2018 est.),333.54 billion (2020 est.,330.68 billion (2019 et,"Germany 27%, Cz",113.3 billion (31 December 2017 est.),100%,5.43,15.4%, 2018 ,23.9, 2015 ,"38,093,101 ",14.83," 2,918,518",2756968,9.8% ,928637,1823894,43.33,8384017,8203646,13.32,2424638,8203646,41.9,40.3,43.6,-0.26,8.5 b,10.71,-0.33,60.1%,1.06 ,0.57 ,0.94,4.16 ,78.76,75.02,82.73,1.4 ,23.1%,24% ,31456228,83% ,2.3,2.2%,22%
188,Portugal,"39 30 N, 8 00 W",Europe,"92,090 sq km","18-30 years of age for voluntary or contract military service; no compulsory military service (abolished 2004), but conscription possible if insufficient volunteers available; women serve in the armed forces, on naval ships since 1992, but are prohibited from serving in some combatant specialties; contract service lasts for an initial period from two to six years, and can be extended to a maximum of 20 years of service; voluntary military service lasts 12 months; reserve obligation to age 35 (2021)note - as of 2019, women made up about 12% of the military's full-time personnel",Islamic State of Iraq and ash-Sham (ISIS),Portugal is a member of NATO and was one of the original 12 countries to sign the North Atlantic Treaty (also known as the Washington Treaty) in 1949,39 30 N, 8 00 W,331.64 ,358.78  ,358.78  ,2.24% (2019 est,2.85% (2018 es,3.51% (2017 e,"32,200 (2020 est.)","34,900 (2019 est.)","34,000 (2018 es",-$203 million (2019 est.)$,88 million (2018 est.),85.28 billion (2020 est.),104.77 billion (2019 et.,"Spain 23%, Fran",26.11 billion (31 December 2017 est.),100%,6.55,17.2%, 2018 ,25.9, 2015 ,"10,242,081 ",13.58," 716,102",682582,10.94,580074,547122,41.49,2109693,2164745,13.08,615925,2164745,44.6,42.7,46.5,-0.2%,8 bir,10.9 ,0.91 ,67.4%,1.05 ,0.55 ,0.9 ,2.5 d,81.5 ,78.37,84.79,1.43 ,20.8%,25.4%,8031723 ,78% ,1.6,1.4%,21.4%
191,Romania,"46 00 N, 25 00 E",Europe,"238,391 sq km","conscription ended 2006; 18 years of age for male and female voluntary service; all military inductees (including women) contract for an initial 5-year term of service, with subsequent successive 3-year terms until age 36 (2021)",Islamic State of Iraq and ash-Sham (ISIS),"Romania became a member of NATO in 2004Romania conducts its own air policing mission, but because of Russian aggression in the Black Sea region, NATO allies have sent detachments of fighters to augment the Romanian Air Force since 2014 Romania hosts a NATO multinational divisional (Multinational Division Southeast; became operational in 2017) and a brigade-sized headquarters as part of NATO's tailored forward presence in the southeastern part of the Alliance (2022)",46 00 N, 25 00 E,556.07 ,578.39  ,578.39  ,4.2% (2019 est.,)4.54% (2018 es,)7.11% (2017 e,"28,800 (2020 est.)","29,900 (2019 est.)","28,500 (2018 es",-$11.389 billion (2019 est,)-$10.78 billion (2018 est.),93.01 billion (2020 est.),100.9 billion (2019 et.),"Germany 22%, It",44.43 billion (31 December 2017 est.),100%,3.06,23.8%, 2018 ,7.6%,2014 ,"18,519,899 ",14.12," 1,545,196",1463700,10.31,1126997,1068817,46.26,4993886,4860408,11.73,1176814,4860408,42.5,41 y,44 y,-1.09,8.76 ,15.26,-4.36,54.5%,1.06 ,0.75 ,0.94,5.84 ,75.75,72.3 ,79.4 ,1.63 ,22.5%,28% ,15020866,78% ,2% ,)2%,.8%(2
